year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201502,Nebraska,41.492,-99.901,-2.75,20.43,-19.04,0.43,64.65,12.39,4.3
201503,Nebraska,41.492,-99.901,6.47,29.36,-14.93,0.02,49.54,18.18,3.94
201504,Nebraska,41.492,-99.901,10.82,26.32,-2.36,2.2,57.44,18.83,4.08
201505,Nebraska,41.492,-99.901,13.55,29.11,0.41,3.57,68.29,18.65,3.97
201506,Nebraska,41.492,-99.901,21.69,35.49,11.68,3.83,67.06,23.6,3.01
201507,Nebraska,41.492,-99.901,24.72,37.4,13.09,2.16,57.84,25.15,2.93
201508,Nebraska,41.492,-99.901,23.22,37.71,8.65,2.29,59.1,20.62,3.07
201509,Nebraska,41.492,-99.901,21.07,36.64,5.02,2.08,57.54,16.24,3.2
201510,Nebraska,41.492,-99.901,12.36,33.76,-3.41,1.4,58.77,12.09,3.47
201511,Nebraska,41.492,-99.901,3.47,24.48,-8.23,1.51,69.68,8.32,3.52
201512,Nebraska,41.492,-99.901,-1.26,17.35,-11.83,0.44,74.01,6.51,3.75
201513,Nebraska,41.492,-99.901,10.96,37.71,-20.84,1.69,62.74,15.79,3.62
201601,Nebraska,41.492,-99.901,-2.52,12.27,-16.91,0.28,76.32,7.22,3.6
201602,Nebraska,41.492,-99.901,1.46,22.36,-11.91,0.65,64.8,11.49,4.68
201603,Nebraska,41.492,-99.901,6.68,25.09,-6.9,0.66,54.79,15.65,4.31
201604,Nebraska,41.492,-99.901,9.72,26.59,-1.93,5.99,63.61,18.12,4.73
201605,Nebraska,41.492,-99.901,14.24,27.63,-0.9,3.42,66.32,22.7,3.46
201606,Nebraska,41.492,-99.901,23.74,35.45,9.12,2.44,58.29,28.28,3.18
201607,Nebraska,41.492,-99.901,23.96,35.75,13.56,3.5,63.69,23.07,2.95
201608,Nebraska,41.492,-99.901,22.89,35.66,10.35,1.11,61.07,20.6,2.9
201609,Nebraska,41.492,-99.901,18.77,32.28,6.19,1.49,61.17,16.28,3.42
201610,Nebraska,41.492,-99.901,13.02,28.93,0.12,1.03,60.32,12.64,3.55
201611,Nebraska,41.492,-99.901,6.45,22.51,-7.03,0.83,62.78,8.58,3.69
201612,Nebraska,41.492,-99.901,-3.71,10.15,-20.96,0.39,60.4,7.24,4.1
201613,Nebraska,41.492,-99.901,11.24,35.75,-20.96,1.81,62.8,15.99,3.71
201701,Nebraska,41.492,-99.901,-3.87,12.47,-19.56,0.62,74.81,7.29,3.77
201702,Nebraska,41.492,-99.901,1.55,23.45,-11.96,0.62,62.73,11.62,3.91
201703,Nebraska,41.492,-99.901,5.0,29.08,-8.89,1.5,61.85,13.53,4.05
201704,Nebraska,41.492,-99.901,9.99,27.6,-2.2,2.32,61.66,17.57,4.22
201705,Nebraska,41.492,-99.901,14.52,31.11,0.65,2.58,60.36,22.87,3.75
201706,Nebraska,41.492,-99.901,23.31,38.75,11.03,0.77,49.79,26.34,3.16
201707,Nebraska,41.492,-99.901,26.44,39.22,13.79,2.09,53.35,24.09,2.93
201708,Nebraska,41.492,-99.901,21.1,31.87,11.06,5.6,66.04,21.07,2.69
201709,Nebraska,41.492,-99.901,18.89,35.65,6.2,3.5,57.5,16.95,3.19
201710,Nebraska,41.492,-99.901,9.55,24.82,-5.78,2.28,60.64,12.33,4.07
201711,Nebraska,41.492,-99.901,4.01,21.41,-6.32,0.14,66.03,9.1,3.47
201712,Nebraska,41.492,-99.901,-2.9,13.91,-20.84,0.33,64.76,6.61,4.03
201713,Nebraska,41.492,-99.901,10.67,39.22,-20.84,1.87,61.65,15.8,3.6
201801,Nebraska,41.492,-99.901,-4.31,12.36,-22.15,0.61,75.4,7.75,3.79
201802,Nebraska,41.492,-99.901,-5.03,13.22,-17.11,0.64,69.8,11.57,3.95
201803,Nebraska,41.492,-99.901,2.89,19.21,-5.95,0.74,65.27,14.5,4.08
201804,Nebraska,41.492,-99.901,4.99,28.65,-13.36,1.49,63.32,19.23,4.42
201805,Nebraska,41.492,-99.901,17.41,33.07,6.03,5.51,69.8,20.19,3.32
201806,Nebraska,41.492,-99.901,22.55,35.2,10.37,4.65,67.17,24.46,3.49
201807,Nebraska,41.492,-99.901,22.94,34.74,11.51,3.6,69.79,24.9,2.64
201808,Nebraska,41.492,-99.901,22.5,33.77,10.05,1.74,64.92,20.64,2.53
201809,Nebraska,41.492,-99.901,18.27,33.56,2.72,2.03,70.6,15.12,3.41
201810,Nebraska,41.492,-99.901,7.46,29.74,-6.51,2.05,70.36,11.59,3.42
201811,Nebraska,41.492,-99.901,0.66,14.59,-10.2,0.87,70.67,7.73,3.44
201812,Nebraska,41.492,-99.901,-3.38,8.56,-18.23,1.48,82.24,7.38,3.64
201813,Nebraska,41.492,-99.901,9.0,35.2,-22.15,2.13,69.97,15.44,3.51
201901,Nebraska,41.492,-99.901,-3.41,10.32,-19.81,0.07,73.72,7.64,3.89
201902,Nebraska,41.492,-99.901,-7.54,14.64,-19.28,0.51,74.76,10.33,3.85
201903,Nebraska,41.492,-99.901,0.02,20.19,-24.49,2.72,77.48,13.91,4.0
201904,Nebraska,41.492,-99.901,8.93,29.32,-7.63,1.81,68.14,18.92,4.19
201905,Nebraska,41.492,-99.901,12.6,30.0,-1.89,5.66,71.14,19.12,3.59
201906,Nebraska,41.492,-99.901,20.1,34.97,8.38,2.81,68.37,25.49,3.04
201907,Nebraska,41.492,-99.901,23.66,35.88,12.8,4.64,74.16,24.5,2.69
201908,Nebraska,41.492,-99.901,21.59,33.22,10.04,5.57,79.34,18.39,2.72
201909,Nebraska,41.492,-99.901,20.44,32.88,8.49,1.64,66.73,17.62,3.62
201910,Nebraska,41.492,-99.901,6.11,22.64,-9.9,0.8,62.98,12.56,4.1
201911,Nebraska,41.492,-99.901,1.29,20.65,-11.42,1.05,73.48,8.13,3.79
201912,Nebraska,41.492,-99.901,-2.02,11.44,-12.54,1.49,82.73,6.77,3.38
201913,Nebraska,41.492,-99.901,8.57,35.88,-24.49,2.42,72.78,15.3,3.57
202001,Nebraska,41.492,-99.901,-2.59,8.99,-14.29,0.47,79.0,7.89,3.49
202002,Nebraska,41.492,-99.901,-1.46,17.87,-17.8,0.24,66.23,11.42,3.99
202003,Nebraska,41.492,-99.901,4.3,21.79,-10.42,1.82,70.48,13.27,4.08
202004,Nebraska,41.492,-99.901,8.05,25.9,-7.82,0.64,57.58,21.72,4.17
202005,Nebraska,41.492,-99.901,13.64,30.33,-2.44,4.12,69.2,19.99,3.41
202006,Nebraska,41.492,-99.901,23.47,34.91,10.49,1.53,58.52,26.09,4.08
202007,Nebraska,41.492,-99.901,24.52,36.63,13.9,3.52,65.99,25.17,3.24
202008,Nebraska,41.492,-99.901,24.5,37.3,10.89,0.53,53.1,23.16,3.07
202009,Nebraska,41.492,-99.901,17.76,36.88,1.15,0.62,51.22,16.42,3.47
202010,Nebraska,41.492,-99.901,8.04,29.99,-9.74,0.64,57.18,12.33,3.67
202011,Nebraska,41.492,-99.901,5.65,26.14,-6.13,0.52,56.1,9.56,3.8
202012,Nebraska,41.492,-99.901,0.16,18.1,-10.07,0.59,65.08,6.83,3.76
202013,Nebraska,41.492,-99.901,10.53,37.3,-17.8,1.28,62.53,16.15,3.68
202101,Nebraska,41.492,-99.901,-1.42,13.5,-12.51,0.37,72.38,7.11,3.88
202102,Nebraska,41.492,-99.901,-7.32,14.74,-25.47,0.6,71.0,12.6,3.3
202103,Nebraska,41.492,-99.901,4.47,25.99,-9.78,3.43,66.64,14.58,4.1
202104,Nebraska,41.492,-99.901,8.54,29.85,-6.3,1.07,57.82,19.93,4.06
202105,Nebraska,41.492,-99.901,15.04,32.47,1.88,2.96,65.84,19.05,3.61
