year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201706,NorthDakota,47.551,-101.002,19.69,35.18,7.27,1.43,49.29,24.77,3.88
201707,NorthDakota,47.551,-101.002,24.38,39.26,12.15,1.38,48.42,25.45,3.1
201708,NorthDakota,47.551,-101.002,19.56,33.05,9.22,2.87,58.18,19.47,2.66
201709,NorthDakota,47.551,-101.002,15.14,34.56,3.71,1.61,59.86,14.06,3.5
201710,NorthDakota,47.551,-101.002,7.5,25.37,-6.74,0.18,57.99,10.41,4.47
201711,NorthDakota,47.551,-101.002,-2.15,12.28,-13.85,0.39,75.71,5.9,3.82
201712,NorthDakota,47.551,-101.002,-7.9,7.38,-29.18,0.35,74.37,4.04,4.41
201713,NorthDakota,47.551,-101.002,6.64,39.26,-31.85,0.94,65.69,14.85,3.75
201801,NorthDakota,47.551,-101.002,-10.3,9.55,-29.47,0.32,86.07,6.24,3.85
201802,NorthDakota,47.551,-101.002,-12.27,7.78,-24.8,0.37,76.11,11.3,3.95
201803,NorthDakota,47.551,-101.002,-1.67,12.7,-15.3,1.64,75.27,13.16,3.99
201804,NorthDakota,47.551,-101.002,2.45,24.83,-18.1,0.3,58.55,18.16,3.94
201805,NorthDakota,47.551,-101.002,16.99,32.69,0.08,1.51,54.85,21.32,3.23
201806,NorthDakota,47.551,-101.002,20.14,32.16,8.34,4.73,61.8,23.9,3.3
201807,NorthDakota,47.551,-101.002,22.57,37.93,11.56,1.41,53.8,25.32,2.9
201808,NorthDakota,47.551,-101.002,21.52,39.47,6.98,1.12,52.63,19.41,2.74
201809,NorthDakota,47.551,-101.002,13.38,29.89,-1.13,1.59,62.02,14.04,3.47
201810,NorthDakota,47.551,-101.002,4.47,20.73,-5.13,0.95,69.88,9.03,3.68
201811,NorthDakota,47.551,-101.002,-4.31,9.37,-15.55,0.97,80.79,4.12,3.62
201812,NorthDakota,47.551,-101.002,-6.21,5.33,-24.55,0.62,87.52,4.3,3.62
201813,NorthDakota,47.551,-101.002,5.68,39.47,-29.47,1.3,68.24,14.21,3.52
201901,NorthDakota,47.551,-101.002,-11.12,4.82,-32.07,0.55,87.04,6.03,4.03
201902,NorthDakota,47.551,-101.002,-18.23,2.57,-35.99,0.96,95.21,11.99,3.32
201903,NorthDakota,47.551,-101.002,-3.94,16.62,-28.61,0.32,80.02,16.78,4.1
201904,NorthDakota,47.551,-101.002,6.26,24.09,-5.62,1.27,62.43,15.75,3.96
201905,NorthDakota,47.551,-101.002,10.72,28.88,-2.72,2.09,61.04,20.25,3.46
201906,NorthDakota,47.551,-101.002,18.89,32.36,7.8,2.46,60.78,23.13,3.17
201907,NorthDakota,47.551,-101.002,22.24,32.94,12.2,2.42,59.65,23.77,2.85
201908,NorthDakota,47.551,-101.002,19.89,31.72,8.27,2.97,62.89,18.94,3.15
201909,NorthDakota,47.551,-101.002,15.0,30.78,2.45,6.3,75.18,12.69,3.67
201910,NorthDakota,47.551,-101.002,3.0,23.97,-9.69,1.68,75.43,7.81,4.48
201911,NorthDakota,47.551,-101.002,-2.63,9.69,-14.9,0.61,82.19,4.9,3.88
201912,NorthDakota,47.551,-101.002,-7.7,4.34,-22.57,0.46,92.17,4.26,3.45
201913,NorthDakota,47.551,-101.002,4.5,32.94,-35.99,1.84,74.38,13.87,3.63
202001,NorthDakota,47.551,-101.002,-10.0,3.54,-27.66,0.36,89.89,5.82,3.62
202002,NorthDakota,47.551,-101.002,-5.87,11.74,-23.64,0.21,78.79,10.53,3.67
202003,NorthDakota,47.551,-101.002,0.12,17.2,-15.89,0.52,71.65,14.65,4.18
202004,NorthDakota,47.551,-101.002,3.87,23.95,-10.93,0.41,61.41,18.54,4.01
202005,NorthDakota,47.551,-101.002,12.21,28.23,-3.49,1.02,62.72,22.41,3.69
202006,NorthDakota,47.551,-101.002,20.62,35.56,9.31,2.73,56.72,24.12,3.68
202007,NorthDakota,47.551,-101.002,22.77,34.89,13.06,1.45,57.86,25.25,3.04
202008,NorthDakota,47.551,-101.002,22.25,36.34,8.77,1.48,52.5,21.63,2.91
202009,NorthDakota,47.551,-101.002,14.7,30.03,0.38,0.38,53.96,15.03,4.08
202010,NorthDakota,47.551,-101.002,3.75,21.74,-13.64,0.59,63.66,9.4,4.07
202011,NorthDakota,47.551,-101.002,0.55,20.61,-10.42,0.1,72.27,6.3,4.03
202012,NorthDakota,47.551,-101.002,-4.05,7.62,-16.96,0.15,80.41,4.54,3.7
202013,NorthDakota,47.551,-101.002,6.78,36.34,-27.66,0.79,66.82,14.86,3.72
202101,NorthDakota,47.551,-101.002,-4.51,6.59,-18.08,0.2,80.31,4.59,3.91
202102,NorthDakota,47.551,-101.002,-12.46,9.07,-31.57,0.24,70.23,10.21,4.1
202103,NorthDakota,47.551,-101.002,2.97,18.11,-13.02,0.12,59.0,14.07,4.32
202104,NorthDakota,47.551,-101.002,5.91,28.27,-5.54,0.51,55.38,17.09,3.8
202105,NorthDakota,47.551,-101.002,13.2,27.42,-0.92,1.96,53.39,21.48,3.68
202106,NorthDakota,47.551,-101.002,22.61,36.82,7.67,1.62,47.73,26.1,3.31
202107,NorthDakota,47.551,-101.002,25.53,38.71,13.36,1.54,48.03,22.12,3.08
202108,NorthDakota,47.551,-101.002,22.35,38.68,9.79,1.85,53.82,17.4,3.26
202109,NorthDakota,47.551,-101.002,17.98,34.52,6.58,0.88,50.59,15.72,3.52
