year,state,latitude,longitude,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
201502,Minnesota,46.729,-94.685,-14.98,-0.65,-30.69,0.37,80.84,9.34,4.52
201503,Minnesota,46.729,-94.685,-0.99,21.62,-26.17,0.52,70.3,14.06,4.25
201504,Minnesota,46.729,-94.685,6.83,21.38,-5.26,1.11,60.44,18.79,4.32
201505,Minnesota,46.729,-94.685,12.3,25.63,-0.71,4.94,71.52,19.12,3.59
201506,Minnesota,46.729,-94.685,18.41,28.63,4.01,2.74,72.52,22.23,2.7
201507,Minnesota,46.729,-94.685,22.08,32.15,8.27,2.56,63.56,22.51,3.27
201508,Minnesota,46.729,-94.685,20.2,34.8,7.97,2.53,64.14,18.19,3.42
201509,Minnesota,46.729,-94.685,18.2,31.52,4.62,2.36,67.43,15.32,3.2
201510,Minnesota,46.729,-94.685,8.4,28.66,-3.29,1.82,71.17,9.86,3.75
201511,Minnesota,46.729,-94.685,1.95,18.17,-13.87,2.16,80.34,5.49,3.75
201512,Minnesota,46.729,-94.685,-5.06,4.42,-20.86,0.92,92.25,3.2,3.41
201513,Minnesota,46.729,-94.685,6.41,34.8,-30.69,1.87,73.37,13.59,3.7
201601,Minnesota,46.729,-94.685,-11.6,1.81,-29.43,0.45,92.0,5.69,3.77
201602,Minnesota,46.729,-94.685,-8.49,8.42,-28.87,0.65,86.85,8.48,4.29
201603,Minnesota,46.729,-94.685,1.83,17.85,-14.57,1.22,79.37,12.24,3.43
201604,Minnesota,46.729,-94.685,4.96,24.38,-7.04,2.1,74.19,15.72,4.52
201605,Minnesota,46.729,-94.685,13.63,28.79,-3.13,1.79,67.24,21.45,3.24
201606,Minnesota,46.729,-94.685,19.14,31.67,6.56,2.45,68.34,22.16,3.5
201607,Minnesota,46.729,-94.685,21.67,31.75,8.56,6.21,71.61,20.59,2.99
201608,Minnesota,46.729,-94.685,20.74,30.94,9.68,4.22,71.79,19.52,2.74
201609,Minnesota,46.729,-94.685,15.58,25.96,4.9,2.85,75.45,12.91,3.63
201610,Minnesota,46.729,-94.685,8.12,22.61,-2.6,1.56,78.95,8.48,3.43
