state,year_num,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
Illinois,2010,10.923076923076923,24.25923076923077,-3.4561538461538466,36.16,81.3876923076923,15.131538461538462,3.0523076923076924
Illinois,2011,11.09769230769231,26.786923076923078,-3.9784615384615383,34.92,78.11076923076924,14.058461538461538,3.1976923076923076
Illinois,2012,12.975384615384616,29.44076923076923,-1.4830769230769225,25.41,70.21076923076923,15.593846153846155,3.2346153846153842
Illinois,2013,10.147692307692308,26.124615384615385,-5.383076923076923,34.68,77.13076923076923,14.458461538461538,3.218461538461538
Illinois,2014,9.103846153846153,24.160769230769233,-7.09,35.5,78.1,14.156153846153845,3.270769230769231
Illinois,2015,11.033846153846154,24.87,-5.618461538461539,40.910000000000004,77.86461538461539,14.756923076923076,3.1946153846153846
Illinois,2016,11.78076923076923,25.56153846153846,-3.3176923076923077,33.57,79.98461538461538,14.88846153846154,3.081538461538462
Illinois,2017,12.012307692307692,27.123076923076926,-3.6561538461538463,29.01,72.57923076923076,14.807692307692308,3.2515384615384617
Illinois,2018,10.98,26.075384615384618,-4.031538461538461,36.43,76.57538461538462,14.49,3.123076923076923
Illinois,2019,10.503076923076922,24.95384615384615,-6.0284615384615385,39.22,81.13076923076923,14.233846153846153,3.226153846153846
Illinois,2020,11.106153846153846,26.024615384615384,-3.136923076923077,33.13,77.47307692307692,14.463076923076924,3.0992307692307692
Illinois,2021,11.238461538461538,25.41,-3.733846153846154,38.54,78.41692307692308,14.405384615384616,3.1115384615384616
Illinois,2022,10.604615384615386,26.089230769230767,-5.592307692307693,30.52,74.40461538461538,14.655384615384614,3.391538461538462
Illinois,2023,12.196923076923078,28.283846153846152,-2.8730769230769226,31.52,72.14769230769231,14.859230769230768,3.0323076923076924
Indiana,2010,10.914615384615386,24.766923076923078,-2.9538461538461545,35.45,78.5576923076923,14.985384615384616,3.0300000000000002
Indiana,2011,10.77,25.72923076923077,-4.038461538461538,47.08,80.81923076923077,13.734615384615385,3.19
Indiana,2012,12.203846153846154,28.029230769230768,-1.6415384615384618,30.0,75.10230769230769,15.355384615384615,3.132307692307692
Indiana,2013,9.96923076923077,25.301538461538463,-4.430000000000001,37.1,78.98076923076923,14.004615384615384,3.196153846153846
