state,year,crop,yield_bu_acre,temp_mean_c,temp_max_c,temp_min_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms
ILLINOIS,2010,CORN,151.576,10.923076923076923,24.25923076923077,-3.4561538461538466,36.16,81.3876923076923,15.131538461538462,3.0523076923076924
ILLINOIS,2010,SOYBEANS,49.853465346534655,10.923076923076923,24.25923076923077,-3.4561538461538466,36.16,81.3876923076923,15.131538461538462,3.0523076923076924
ILLINOIS,2010,WHEAT,58.553030303030305,10.923076923076923,24.25923076923077,-3.4561538461538466,36.16,81.3876923076923,15.131538461538462,3.0523076923076924
ILLINOIS,2011,CORN,149.84646464646465,11.09769230769231,26.78692307692308,-3.9784615384615383,34.92,78.11076923076924,14.058461538461538,3.1976923076923076
ILLINOIS,2011,SOYBEANS,47.02020202020202,11.09769230769231,26.78692307692308,-3.9784615384615383,34.92,78.11076923076924,14.058461538461538,3.1976923076923076
ILLINOIS,2011,WHEAT,64.12162162162163,11.09769230769231,26.78692307692308,-3.9784615384615383,34.92,78.11076923076924,14.058461538461538,3.1976923076923076
ILLINOIS,2012,CORN,91.44315789473684,12.975384615384616,29.44076923076923,-1.4830769230769223,25.41,70.21076923076923,15.593846153846156,3.234615384615384
ILLINOIS,2012,SOYBEANS,41.823232323232325,12.975384615384616,29.44076923076923,-1.4830769230769223,25.41,70.21076923076923,15.593846153846156,3.234615384615384
ILLINOIS,2012,WHEAT,66.88133333333334,12.975384615384616,29.44076923076923,-1.4830769230769223,25.41,70.21076923076923,15.593846153846156,3.234615384615384
ILLINOIS,2013,CORN,173.69270833333334,10.147692307692308,26.124615384615385,-5.383076923076923,34.68,77.13076923076923,14.458461538461538,3.218461538461538
ILLINOIS,2013,SOYBEANS,49.30520833333333,10.147692307692308,26.124615384615385,-5.383076923076923,34.68,77.13076923076923,14.458461538461538,3.218461538461538
ILLINOIS,2013,WHEAT,65.43243243243244,10.147692307692308,26.124615384615385,-5.383076923076923,34.68,77.13076923076923,14.458461538461538,3.218461538461538
ILLINOIS,2014,CORN,194.59285714285713,9.103846153846153,24.160769230769233,-7.09,35.5,78.1,14.156153846153844,3.270769230769231
ILLINOIS,2014,SOYBEANS,54.473469387755095,9.103846153846153,24.160769230769233,-7.09,35.5,78.1,14.156153846153844,3.270769230769231
ILLINOIS,2014,WHEAT,66.82957746478873,9.103846153846153,24.160769230769233,-7.09,35.5,78.1,14.156153846153844,3.270769230769231
ILLINOIS,2015,CORN,172.04255319148936,11.033846153846154,24.87,-5.618461538461539,40.91,77.86461538461539,14.756923076923076,3.1946153846153846
ILLINOIS,2015,SOYBEANS,54.765625,11.033846153846154,24.87,-5.618461538461539,40.91,77.86461538461539,14.756923076923076,3.1946153846153846
ILLINOIS,2015,WHEAT,65.84864864864865,11.033846153846154,24.87,-5.618461538461539,40.91,77.86461538461539,14.756923076923076,3.1946153846153846
ILLINOIS,2016,CORN,183.528125,11.78076923076923,25.56153846153846,-3.3176923076923077,33.57,79.98461538461538,14.88846153846154,3.081538461538462
ILLINOIS,2016,SOYBEANS,57.52164948453608,11.78076923076923,25.56153846153846,-3.3176923076923077,33.57,79.98461538461538,14.88846153846154,3.081538461538462
ILLINOIS,2016,WHEAT,76.6842857142857,11.78076923076923,25.56153846153846,-3.3176923076923077,33.57,79.98461538461538,14.88846153846154,3.081538461538462
ILLINOIS,2017,CORN,190.633,12.012307692307692,27.12307692307693,-3.6561538461538463,29.01,72.57923076923076,14.807692307692308,3.2515384615384617
ILLINOIS,2017,SOYBEANS,56.41919191919192,12.012307692307692,27.12307692307693,-3.6561538461538463,29.01,72.57923076923076,14.807692307692308,3.2515384615384617
ILLINOIS,2017,WHEAT,77.07575757575758,12.012307692307692,27.12307692307693,-3.6561538461538463,29.01,72.57923076923076,14.807692307692308,3.2515384615384617
ILLINOIS,2018,CORN,202.59111111111113,10.98,26.075384615384618,-4.031538461538461,36.43,76.57538461538462,14.49,3.123076923076923
ILLINOIS,2018,SOYBEANS,61.7936170212766,10.98,26.075384615384618,-4.031538461538461,36.43,76.57538461538462,14.49,3.123076923076923
ILLINOIS,2018,WHEAT,66.94931506849315,10.98,26.075384615384618,-4.031538461538461,36.43,76.57538461538462,14.49,3.123076923076923
ILLINOIS,2019,CORN,175.8505747126437,10.503076923076922,24.95384615384615,-6.0284615384615385,39.22,81.13076923076923,14.233846153846152,3.226153846153846
ILLINOIS,2019,SOYBEANS,52.79642857142856,10.503076923076922,24.95384615384615,-6.0284615384615385,39.22,81.13076923076923,14.233846153846152,3.226153846153846
ILLINOIS,2019,WHEAT,66.70606060606062,10.503076923076922,24.95384615384615,-6.0284615384615385,39.22,81.13076923076923,14.233846153846152,3.226153846153846
ILLINOIS,2020,CORN,186.568,11.106153846153846,26.024615384615384,-3.136923076923077,33.13,77.47307692307692,14.463076923076924,3.0992307692307692
ILLINOIS,2020,SOYBEANS,58.962,11.106153846153846,26.024615384615384,-3.136923076923077,33.13,77.47307692307692,14.463076923076924,3.0992307692307692
ILLINOIS,2020,WHEAT,69.72465753424657,11.106153846153846,26.024615384615384,-3.136923076923077,33.13,77.47307692307692,14.463076923076924,3.0992307692307692
ILLINOIS,2021,CORN,199.5675,11.238461538461538,25.41,-3.733846153846154,38.54,78.41692307692308,14.405384615384616,3.1115384615384616
ILLINOIS,2021,SOYBEANS,62.95822784810127,11.238461538461538,25.41,-3.733846153846154,38.54,78.41692307692308,14.405384615384616,3.1115384615384616
ILLINOIS,2021,WHEAT,79.1530303030303,11.238461538461538,25.41,-3.733846153846154,38.54,78.41692307692308,14.405384615384616,3.1115384615384616
ILLINOIS,2022,CORN,204.35208333333333,10.604615384615386,26.089230769230767,-5.592307692307693,30.52,74.40461538461538,14.655384615384614,3.391538461538462
ILLINOIS,2022,SOYBEANS,61.69893617021276,10.604615384615386,26.089230769230767,-5.592307692307693,30.52,74.40461538461538,14.655384615384614,3.391538461538462
ILLINOIS,2022,WHEAT,80.49384615384616,10.604615384615386,26.089230769230767,-5.592307692307693,30.52,74.40461538461538,14.655384615384614,3.391538461538462
ILLINOIS,2023,CORN,198.6358695652174,12.196923076923078,28.283846153846152,-2.873076923076922,31.52,72.14769230769231,14.859230769230768,3.0323076923076924
ILLINOIS,2023,SOYBEANS,61.68888888888889,12.196923076923078,28.283846153846152,-2.873076923076922,31.52,72.14769230769231,14.859230769230768,3.0323076923076924
ILLINOIS,2023,WHEAT,87.44909090909091,12.196923076923078,28.283846153846152,-2.873076923076922,31.52,72.14769230769231,14.859230769230768,3.0323076923076924
INDIANA,2010,CORN,151.34347826086957,10.914615384615386,24.76692307692308,-2.9538461538461545,35.45,78.5576923076923,14.985384615384616,3.03
INDIANA,2010,SOYBEANS,46.837777777777774,10.914615384615386,24.76692307692308,-2.9538461538461545,35.45,78.5576923076923,14.985384615384616,3.03
INDIANA,2010,WHEAT,59.2038961038961,10.914615384615386,24.76692307692308,-2.9538461538461545,35.45,78.5576923076923,14.985384615384616,3.03
INDIANA,2011,CORN,138.97701149425288,10.77,25.72923076923077,-4.038461538461538,47.08,80.81923076923077,13.734615384615385,3.19
INDIANA,2011,SOYBEANS,43.73636363636364,10.77,25.72923076923077,-4.038461538461538,47.08,80.81923076923077,13.734615384615385,3.19
INDIANA,2011,WHEAT,60.1536231884058,10.77,25.72923076923077,-4.038461538461538,47.08,80.81923076923077,13.734615384615385,3.19
INDIANA,2012,CORN,91.58522727272728,12.203846153846154,28.029230769230768,-1.6415384615384618,30.0,75.10230769230769,15.355384615384615,3.132307692307692
INDIANA,2012,SOYBEANS,42.1876404494382,12.203846153846154,28.029230769230768,-1.6415384615384618,30.0,75.10230769230769,15.355384615384615,3.132307692307692
INDIANA,2012,WHEAT,65.36666666666666,12.203846153846154,28.029230769230768,-1.6415384615384618,30.0,75.10230769230769,15.355384615384615,3.132307692307692
INDIANA,2013,CORN,175.03333333333333,9.96923076923077,25.301538461538463,-4.430000000000001,37.1,78.98076923076923,14.004615384615384,3.196153846153846
INDIANA,2013,SOYBEANS,50.78395061728395,9.96923076923077,25.301538461538463,-4.430000000000001,37.1,78.98076923076923,14.004615384615384,3.196153846153846
INDIANA,2013,WHEAT,71.17460317460318,9.96923076923077,25.301538461538463,-4.430000000000001,37.1,78.98076923076923,14.004615384615384,3.196153846153846
