crop,year,year,temp_mean_c,precipitation_mm,humidity_pct,solar_radiation,wind_speed_ms,crop_SOYBEANS,crop_WHEAT,state_INDIANA,state_IOWA,state_KANSAS,state_MINNESOTA,state_MISSOURI,state_NEBRASKA,state_OHIO
CORN,2010,2010.0,1.3627175721666092,0.9500548248767505,0.2440628962850625,0.09154085019756682,-0.4542024523262953,37.90646712790454,15.898321798987633,0.17307244216762788,-0.12862927812402,-0.4117043309243889,-0.01626247684465609,0.03752608323542233,0.14016405079968822,0.07965377772622813
CORN,2011,2011.0,-0.07399190403671772,-1.1229105089304636,-0.5098762768807178,-0.9788360997571797,-0.31779118473048185,37.07188845681533,14.951784976362132,0.0001435858838749114,-0.2923578345199939,-0.19968139690480338,0.010815661945326127,-0.01222810064352604,-0.18525880183372562,0.007757615233312214
CORN,2012,2012.0,-13.778449566802399,-2.5717476781552024,0.6186673376295981,0.7131144470717106,-0.3669673705971096,33.11639429473977,12.645929275325237,0.3122297581750959,0.309495593224211,-0.6004171325294643,0.01044812381775179,0.010571333800045105,0.22736339283466528,-0.16974320223295508
CORN,2013,2013.0,2.2741028672775667,0.7230448399477785,-0.6969320218328259,0.361313432341549,0.19906481453720745,40.950468776416834,16.744918708688754,0.07350910801582708,-0.25138632484172296,1.796905798094484,0.01533130230663939,0.007078756642680909,0.042333504193738936,0.07492682404007667
CORN,2014,2014.0,3.4961249396737593,3.631941079592873,0.46557614317585366,0.15130526673228745,1.025180542580027,44.17331407990677,18.35630851054738,0.08514646457691129,-0.22470754708116525,-1.0963092255474827,0.022079780924567072,0.006152428712265768,-0.1454361919049027,-0.08934915716607321
CORN,2015,2015.0,0.6721050000521149,1.5329079256968587,0.18955017273415345,0.5124064002006244,-0.21439696574821984,42.36654905763123,17.832579948126142,-0.017047244126566344,-0.47449001891235687,-0.6941457671461873,-0.007458980502963324,0.016455159953228972,0.15339344780726308,0.14285459437797007
CORN,2016,2016.0,1.2274019869527628,2.467804134064141,-0.001094003265644276,-0.2745613803533487,1.440505570336919,43.01736396812296,17.490458671441008,-0.0377261317121698,-0.14370857511382082,2.5611250500690255,-0.0019343832768102507,0.008649547340798815,0.11323126684397483,-0.09993671928653569
CORN,2017,2017.0,-4.788723427258756,-2.6956933880806755,0.4483396396546702,1.0557802161940697,0.9208767519851179,40.649809940690915,16.47940939204962,-0.26173963109854953,0.4503125617195927,-4.242941813489524,0.02151791893065461,0.016318270429490512,-0.1985459813311519,0.07727092142714771
CORN,2018,2018.0,-0.2924566404396451,1.3740934286085096,0.1482413455599451,0.6556237294020971,0.25948544017035896,43.27361030653975,18.207411245171343,0.004303807263510295,0.60928881483029,2.332837199306298,0.0,0.010005584970132712,0.2971357407946337,0.14385894334039762
CORN,2019,2019.0,-1.9753185772408093,3.25429345400932,-1.0149183006981433,-2.5359602388391385,-1.7073713529633237,41.844260714059224,17.399151228059967,-0.013073223585763627,0.4829455126148081,-1.6940400085452143,0.003975472745850279,0.007712474703875215,0.023881686686006737,-0.04078681071543618
CORN,2020,2020.0,-0.367153887077008,-2.1833477963689276,-0.1376568504284389,0.00870602464531331,0.2833766755778464,41.38801033404405,17.283892817869898,0.034405871670705114,-0.3558552433460281,0.019674380484657306,-0.010468915955837127,0.015313879985558191,0.031638198906346976,-0.01900664447567424
CORN,2021,2021.0,1.429886062043489,3.0997238647342824,1.0697181029543787,2.0560849399583487,-0.2528464836458106,44.29976903045498,18.20424097898976,0.0005766059557835157,0.5936021875669545,-1.262809821039237,0.01773925515445277,0.009209553484299526,0.19430505167687825,0.09992831337237221
CORN,2022,2022.0,-1.2604719349814757,-4.030644945586754,1.3262736736997889,0.348034283277438,-1.8060268509566542,41.69221103331377,17.257091489728452,-0.09054421036918454,-0.8714614499818317,-1.8227838152705071,0.0,-0.02671952398950451,-0.12626061172163267,0.14403942802168893
CORN,2023,2023.0,3.3040526547289337,-0.9277922794797115,1.8223415079875775,0.27897990890458224,1.2902752717526518,43.888705296929956,17.139193696741664,-0.07638259271700029,-0.45388979899204634,2.814305176938413,0.011861471146613692,0.0,-0.14354101389843205,-0.037336349371796015
